nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
FERME LAIT'LOGES;Fromage et produit laitier;;;Tertre des Loges;;72130;;SAINT-GEORGES-LE-GAULTIER;;72282;48.3153009;-0.0915187;;636569423;;;contact@fermelaitloges.fr;http://fermelaitloges.fr/;;;Facebook||https://www.facebook.com/fermelaitloges/;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;oui;;oui;;;"Anglais;Français";;oui;non;oui;;;;;;;;oui;Français;oui;;oui;01/01/2022||31/12/2022||Magasin à la ferme le mercredi et le vendredi de 16h à 19h. Se renseigner pour les jours fériés. ||||||||||||||||||||16:00||19:00||||||||||||||16:00||19:00||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.3153009,-0.0915187;Sarthe
AUDE ET PHILIPPE LEROUX - PAIN BIOLOGIQUE;Pain / Pâtisserie;Ferme de Chantenay;;;;72400;;CHERRE-AU;;72080;48.1628365;0.6665824;;;02 43 93 75 47;;aude.leroux@ideeweb.org;http://www.marchefermier.fr/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;oui;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;;48.1628365,0.6665824;Sarthe
LA FERME D'HELIACYNTHE - VIANDE DE BOEUF;"Produits du terroir (boutique);Viande";Les Lèveries;;;;72320;;COURGENARD;;72105;48.1599273;0.76100289;;;02 43 71 83 48;;heliacynthe@orange.fr;http://www.heliacynthe.fr/;;;Facebook||https://www.facebook.com/heliacynthe;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;oui;;;"Anglais;Français";;non;oui;oui;;;;oui;non;oui;non;oui;"Français;Anglais";non;;oui;;;;;oui;;Chèques bancaires et postaux;48.1599273,0.76100289;Sarthe
L'ESCARGOT DU MAINE;Escargot;;;;La Grande Anjubauderie;72290;;BALLON-SAINT MARS;;72023;48.1690008;0.27180668;;;02 43 24 36 30;;lescargot.du.maine@orange.fr;www.escargot-du-maine.com;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;non;;oui;40;;"Anglais;Français";;;oui;oui;;;;oui;non;;non;non;Français;non;Proposition clientèle||FMAPDL072V50O0V7;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";48.1690008,0.27180668;Sarthe
ATELIER COULEURS DE VERRE;Verre;;;les Ragottières;;72610;;CHERISAY;;72079;48.3492217;0.10397398;"Autoroute||A28 sortie 20 rouessé fontaine||7;Gare routière||Alençon||12;Gare SNCF||Alençon||12;Route (nationale/départ.)||D338 Alençon Le Mans||4;Transport en commun||TIS ligne 4 Alençon||4";;09 75 41 01 47;;ateliercouleursdeverre@orange.fr;https://atelier-couleurs-de-verre.fr/;;;;;Artisanat / Art;;;;;oui;8;1;"Anglais;Français";;;;oui;;;non;non;oui;non;non;non;Français;oui;;oui;;Mme LEVRARD||09 75 41 01 47||ateliercouleursdeverre@orange.fr;;;oui;;Chèques bancaires et postaux;48.3492217,0.10397398;Sarthe
DOMAINE DE LA ROCHE BLEUE;Vins;;;;La Roche;72340;;MARCON;;72183;47.7094024;0.5160054;"Gare SNCF||Chateau du loir||8;Autoroute||A28 sortie 26||12";;02 43 46 26 02;;domainedelarochebleue@ymail.com;;;;"Facebook||https://www.facebook.com/DomaineDeLaRocheBleue/?ref=page_internal;Instagram||https://www.instagram.com/domainedelarochebleue/";;Viticulture;"Agriculture Biologique (AB);Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;;oui;50;;"Anglais;Français;Néerlandais";"Coteaux du Loir;Jasnières";non;oui;oui;1h;1h30;oui;oui;non;oui;oui;oui;"Français;Anglais;Néerlandais";non;;;21/04/2022||13/08/2022||Ouverture sur rendez-vous les autres jours et autres périodes de l'année.||||||||||||||||||||||||||||||||||||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7094024,0.5160054;Sarthe
CIDRERIE ET DISTILLERIE PELLETIER;"Produits cidricoles / Jus de fruit;Spiritueux";;;;La MAISON BRULEE;72310;;LA CHAPELLE-HUON;;72064;47.855237;0.754691;"Gare SNCF||Le Mans||50;Autoroute||La Ferté Bernard||40";675914603;02 43 35 58 66;;distilleriepelletier@outlook.fr;http://www.cidreriedistilleriepelletiersarthe.com;;;;;"Agriculture / horticulture / Pêche;Industrie extractive et manufacturière (hors alimentaire)";Bienvenue à la Ferme;;;;oui;50;20;Français;;oui;oui;oui;;1h30;non;oui;non;non;non;non;Français;non;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.855237,0.754691;Sarthe
DIDIER DANTRAS, SCULPTEUR;Sculpture;;;;Le Moulin de Contres;72110;;SAINT-COSME-EN-VAIRAIS;;72276;48.2810121;0.49161363;Route (nationale/départ.)||D206||0;662399698;;;didierdantras@gmail.com;https://sculpturedidierdantras.com/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2810121,0.49161363;Sarthe
JASNIERES OLIVIER CHAMPION;Vins;;;Rue Elie Savatier;Poncé sur le Loir;72340;;LOIR EN VALLÉE;;72262;47.7635551;0.658181;"Route (nationale/départ.)||D305||0;Autoroute||A11(sortie La Ferté Bernard)||44;Aéroport/aérodrome||Le Mans||51;Gare SNCF||||36;Gare routière||Château du Loir||23";668607243;;;vins.champion@orange.fr;;;;"Facebook||https://www.facebook.com/vigneron.champion/;Instagram||https://www.instagram.com/olivier_champion_vigneron/?hl=fr";;Viticulture;;;oui;;oui;25;;"Anglais;Espagnol;Français";"Coteaux du Loir;Jasnières";oui;oui;oui;;1h30;;oui;;;;;"Français;Anglais;Espagnol";;;;01/04/2022||15/09/2022||||||||||||||||||||||||||||||||||||||||||||||10:00||12:00||14:00||18:00||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7635551,0.658181;Sarthe
LES RUCHERS DE LA PAUMERAIE;Produits apicoles;;;50 rue du Jeu de Paume;;72440;;BOULOIRE;;72042;47.9704479;0.5508177;Route (nationale/départ.)||D357||0;;02 43 63 03 64;;miellerie@ruchersdelapaumeraie.fr;http://www.ruchersdelapaumeraie.fr/;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;;47.9704479,0.5508177;Sarthe
LA FERME DU PERE LOUIS;"Elevage;Produits du terroir (boutique);Rillettes;Viande";;;;La Lèzerie;72300;;PRECIGNE;;72244;47.7731996;-0.3456102;Route (nationale/départ.)||de Pincé||;;;;romain.corbin@orange.fr;;;;Facebook||https://www.facebook.com/Ferme-du-P%C3%A8re-Louis-1948993505335191;;Agriculture / horticulture / Pêche;;;;;oui;30;10;Anglais;;non;oui;oui;30;;oui;oui;non;;oui;oui;Anglais;;;non;;;;;oui;;Chèques bancaires et postaux;47.7731996,-0.3456102;Sarthe
MAISON AUBERT DE RYCKE;Vins;;;La Pointe;;72340;;MARCON;;72183;47.733538;0.535785;Route (nationale/départ.)||entre LA CHARTRE SUR LE LOIR et Marçon||;660561750;;;loirandco@orange.fr;;;;Facebook||https://www.facebook.com/Loir-and-Co-219414005329262/;;Viticulture;;;oui;;oui;50;;"Allemand;Anglais;Français";"Coteaux du Loir;Coteaux du Vendômois;Crémant de Loire;Jasnières;Touraine";oui;oui;oui;;45 mi;oui;oui;non;non;oui;oui;"Français;Allemand;Anglais";non;;;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.733538,0.535785;Sarthe
LA MAISON DES ABEILLES;Produits apicoles;;;route de Saint Georges du Bois;;72700;;PRUILLE-LE-CHETIF;;72247;47.9905882;0.1054311;"Route (nationale/départ.)||Pruillé le Chétif||0,4;Autoroute||Le Mans Ouest||3;Aéroport/aérodrome||||15;Gare SNCF||||10;Gare routière||||10;Transport en commun||Pruillé le Chétif||0,5";685260611;;;michel.meunier.72@gmail.com;http://lamaisondesabeilles72.com/;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;non;;oui;40;8;;;oui;oui;oui;;;oui;oui;non;oui;non;non;Français;non;;oui;;;;;;;Chèques bancaires et postaux;47.9905882,0.1054311;Sarthe
AU PAYS DES RILLETTES - SOCIÉTÉ BAHIER;"Biscuit;Produits apicoles;Produits du terroir (boutique);Rillettes;Salaisons;Viande";RD 323;;;;72160;;SCEAUX-SUR-HUISNE;;72331;48.105561;0.586784;"Route (nationale/départ.)||RD 323||0;Autoroute||A11 PARIS-NANTES||15;Gare SNCF||GARE LA FERTE BERNARD||15;Gare routière||GARE LA FERTE BERNARD||15";;02 43 60 31 54;;aupaysdesrillettes@bahier.fr;;;;;;Agro-alimentaire;Visitez nos entreprises;;non;Pour des raisons d'hygiène;oui;55;20;"Anglais;Français";;non;oui;oui;1 h;1H30;oui;oui;oui;oui;non;oui;"Français;Anglais";oui;;oui;||||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||||||||||||||||;||02 43 60 31 54||;;;oui;;Cartes bancaires;48.105561,0.586784;Sarthe
GUILLEMARD CREATION;"Biscuit;Brioche et viennoiserie;Confiserie / chocolat;Glace;Pain / Pâtisserie;Produits du terroir (boutique)";;;24 Grande Rue;;72200;;LA FLECHE;;72154;47.699511;-0.07403;"Route (nationale/départ.)||RN 23||0,5;Autoroute||DURTAL ou SABLE||15;Aéroport/aérodrome||MARCE||30;Gare SNCF||ANGERS ou LE MANS||40;Gare routière||LA FLECHE||0,5";;02 43 94 02 11;;sebastien.guillemard@gmail.com;http://www.guillemardpatisserie.fr;"http://www.dailymotion.com/video/x18onj1_le-secret-des-macarons_shortfilms;http://vimeo.com/80534696";;"Facebook||https://www.facebook.com/patisseriechocolaterieguillemard/www.facebook.com/patisserie.guillemard;Twitter||https://twitter.com/guillemardpatis";;Agro-alimentaire;;;non;;oui;15;3;"Anglais;Français";;oui;non;oui;1h;1h;oui;oui;;oui;non;oui;"Français;Anglais";;;oui;01/01/2022||31/12/2022||||||||||15:00||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||13:00||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.699511,-0.07403;Sarthe
